"Story","Title","Result","Date","Stability","Duration (s)"
"Delete pets","Delete a pet","SUCCESS","2024-10-12T15:35:05.0203503-05:00[America/Bogota]","0.0","0.19"
"Get Pets","get pet information by ID","SUCCESS","2024-10-12T15:35:11.579455-05:00[America/Bogota]","0.0","0.01"
"Get Pets","Try to get information using an non-existent ID","SUCCESS","2024-10-12T15:35:11.8496014-05:00[America/Bogota]","0.0","0.04"
"Get Pets","Try to get information using an invalid ID","SUCCESS","2024-10-12T15:35:12.3223694-05:00[America/Bogota]","0.0","0.02"
"Post Pets","Create a new Pet","SUCCESS","2024-10-12T15:35:12.5237289-05:00[America/Bogota]","0.0","0.01"
"Post Pets","Create a Pet with a new status","SUCCESS","2024-10-12T15:35:12.8307296-05:00[America/Bogota]","0.0","0.01"
"Post Pets","Create a new pet without id","SUCCESS","2024-10-12T15:35:13.2283944-05:00[America/Bogota]","0.0","0.01"
"Update pets","Update pet's information using update method","SUCCESS","2024-10-12T15:35:13.4247398-05:00[America/Bogota]","0.0","0.01"
"Update pets","Update pet's information using post method","SUCCESS","2024-10-12T15:35:13.7327061-05:00[America/Bogota]","0.0","0.01"
"delete order","Delete a pet","SUCCESS","2024-10-13T00:43:35.0595614-05:00[America/Bogota]","0.0","0.09"
"delete order","Delete an order","SUCCESS","2024-10-13T00:47:08.187301-05:00[America/Bogota]","0.0","0.22"
"get orders","get an existant order","SUCCESS","2024-10-12T18:26:17.1013669-05:00[America/Bogota]","0.0","0.22"
"Get orders","get an order with a non-existent id","SUCCESS","2024-10-13T00:47:15.7127078-05:00[America/Bogota]","0.0","0.01"
"Get orders","get an order with an invalid id","SUCCESS","2024-10-13T00:47:15.8612153-05:00[America/Bogota]","0.0","0.01"
"Post Order","Create a new order","SUCCESS","2024-10-13T00:47:16.0017406-05:00[America/Bogota]","0.0","0.02"
"Post Order","Create a new order with a new status","SUCCESS","2024-10-13T00:47:16.5704709-05:00[America/Bogota]","0.0","0.01"
"Post Order","Create a new order with an invalid id","SUCCESS","2024-10-13T00:47:17.4248556-05:00[America/Bogota]","0.0","0.01"
