"Story","Title","Result","Date","Stability","Duration (s)"
"Delete pets","Delete a pet","SUCCESS","2024-10-13T13:27:32.4475477-05:00[America/Bogota]","0.0","0.09"
"Delete pets","Delete a non-existent pet","FAILURE","2024-10-13T13:27:35.9267608-05:00[America/Bogota]","0.0","0.01"
"Get Pets","get pet information by ID","SUCCESS","2024-10-13T13:27:36.1903889-05:00[America/Bogota]","0.0","0.01"
"Get Pets","Try to get information using an non-existent ID","SUCCESS","2024-10-13T13:27:36.4375614-05:00[America/Bogota]","0.0","0.02"
"Get Pets","Try to get information using an non-existent ID","SUCCESS","2024-10-13T13:27:36.4375614-05:00[America/Bogota]","0.0","0.02"
"Get Pets","Try to get information using an invalid ID","SUCCESS","2024-10-13T13:27:36.7226083-05:00[America/Bogota]","0.0","0.01"
"Post Pets","Create a new Pet","SUCCESS","2024-10-13T13:27:36.910978-05:00[America/Bogota]","0.0","0.01"
"Post Pets","Create a Pet with a new status","SUCCESS","2024-10-13T13:27:37.2210128-05:00[America/Bogota]","0.0","0.0"
"Post Pets","Create a new pet without id","SUCCESS","2024-10-13T13:27:37.415291-05:00[America/Bogota]","0.0","0.01"
"Update pets","Update pet's information using update method","SUCCESS","2024-10-13T13:27:37.5319008-05:00[America/Bogota]","0.0","0.01"
"Update pets","Update pet's information using post method","SUCCESS","2024-10-13T13:27:37.7372138-05:00[America/Bogota]","0.0","0.01"
"Delete order","Delete an order","SUCCESS","2024-10-13T13:27:58.767594-05:00[America/Bogota]","0.0","0.09"
"Delete order","Delete a non-existent order","FAILURE","2024-10-13T13:28:02.7706998-05:00[America/Bogota]","0.0","0.01"
"Get orders","get an existent order","SUCCESS","2024-10-13T13:28:03.0404956-05:00[America/Bogota]","0.0","0.01"
"Get orders","get an order with a non-existent id","SUCCESS","2024-10-13T13:28:03.2881799-05:00[America/Bogota]","0.0","0.01"
"Get orders","get an order with an invalid id","SUCCESS","2024-10-13T13:28:03.4037911-05:00[America/Bogota]","0.0","0.01"
"Post Order","Create a new order","SUCCESS","2024-10-13T13:28:03.5154175-05:00[America/Bogota]","0.0","0.01"
"Post Order","Create a new order with a new status","SUCCESS","2024-10-13T13:28:03.9330208-05:00[America/Bogota]","0.0","0.01"
"Post Order","Create a new order with an invalid id","SUCCESS","2024-10-13T13:28:04.4404989-05:00[America/Bogota]","0.0","0.01"
"Delete user","Delete an user","SUCCESS","2024-10-13T13:28:44.5508526-05:00[America/Bogota]","0.0","0.29"
"Delete user","Delete a non-existent user","FAILURE","2024-10-13T13:28:53.3180925-05:00[America/Bogota]","0.0","0.02"
"Get user.","Get user by username","SUCCESS","2024-10-13T13:28:53.7665972-05:00[America/Bogota]","0.0","0.02"
"Get user.","Send get request with a non-existent username","SUCCESS","2024-10-13T13:28:54.2380137-05:00[America/Bogota]","0.0","0.02"
"Login user","login user with valid data.","SUCCESS","2024-10-13T13:28:54.4631593-05:00[America/Bogota]","0.0","0.01"
"Login user","logout user","SUCCESS","2024-10-13T13:28:54.6784369-05:00[America/Bogota]","0.0","0.02"
"Post user.","Create user","SUCCESS","2024-10-13T13:28:55.2006365-05:00[America/Bogota]","0.0","0.02"
"Post user.","Create user with invalid id","SUCCESS","2024-10-13T13:28:55.5898456-05:00[America/Bogota]","0.0","0.03"
